title,thumbnail,tags,release_date,review_score,reviewed_by,sale_price,original_price
SteamWorld Build,https://cdn.akamai.steamstatic.com/steam/apps/2134770/header.jpg?t=1701453785,"['Simulation', 'Strategy', 'Building', 'Base Building', 'Singleplayer']","Dec 1, 2023",Very Positive,| 112 User Reviews,$13.49,$14.99
Horizon Zero Dawn™ Complete Edition,https://cdn.akamai.steamstatic.com/steam/apps/1151640/header.jpg?t=1698159193,"['Open World', 'Adventure', 'Female Protagonist', 'Singleplayer', 'Action']","Aug 7, 2020",Very Positive,"| 77,865 User Reviews",$12.49,$49.99
American Truck Simulator,https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1701369433,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation']","Feb 2, 2016",Overwhelmingly Positive,"| 113,077 User Reviews",$2.52,$10.09
Euro Truck Simulator 2,https://cdn.akamai.steamstatic.com/steam/apps/227300/header.jpg?t=1700739799,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim']","Oct 12, 2012",Overwhelmingly Positive,"| 524,998 User Reviews",$2.52,$10.09
Last Train Home,https://cdn.akamai.steamstatic.com/steam/apps/1469610/header.jpg?t=1701359196,"['Strategy', 'Real Time Tactics', 'RTS', 'Historical', '3D']","Nov 28, 2023",Very Positive,| 481 User Reviews,$16.14,$18.99
Tom Clancy's Rainbow Six® Siege,https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1701448988,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Shooter']","Dec 1, 2015",Very Positive,"| 1,017,193 User Reviews",$6.39,$15.99
Tom Clancy's Ghost Recon® Breakpoint,https://cdn.akamai.steamstatic.com/steam/apps/2231380/header.jpg?t=1697654010,"['Action', 'Multiplayer', 'Open World', 'Singleplayer', 'Shooter']","Jan 23, 2023",Mostly Positive,"| 11,446 User Reviews",$9.59,$47.99
TEVI,https://cdn.akamai.steamstatic.com/steam/apps/2230650/header.jpg?t=1701314590,"['Metroidvania', 'Anime', 'Action-Adventure', 'Pixel Graphics', 'Bullet Hell']","Nov 30, 2023",Very Positive,| 520 User Reviews,$9.90,$11.00
Apocalypse Party,https://cdn.akamai.steamstatic.com/steam/apps/2351560/header.jpg?t=1701407236,"['Casual', 'Singleplayer', 'Action Roguelike', 'Top-Down Shooter', 'Online Co-Op']","Dec 1, 2023",Mostly Positive,| 392 User Reviews,$5.21,$5.79
Jurassic World Evolution 2,https://cdn.akamai.steamstatic.com/steam/apps/1244460/header_alt_assets_0.jpg?t=1701342551,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox']","Nov 9, 2021",Very Positive,"| 19,049 User Reviews",$8.09,$26.99
NBA 2K24,https://cdn.akamai.steamstatic.com/steam/apps/2338770/header.jpg?t=1701446958,"['Sports', 'Simulation', 'Basketball', 'eSports', '3D']","Sep 8, 2023",Overwhelmingly Negative,"| 10,302 User Reviews",$26.99,$59.99
ICARUS,https://cdn.akamai.steamstatic.com/steam/apps/1149460/header.jpg?t=1701123531,"['Survival', 'Open World Survival Craft', 'Online Co-Op', 'Base Building', 'Multiplayer']","Dec 3, 2021",Mixed,"| 28,481 User Reviews",$12.05,$17.99
